id_modulo;ordem_modulo;nome_modulo;duracao_total_estimada
1;1;Integração da análise de dados na rotina administrativa;00:00:00
2;1;Empresas como Sistemas: Integração entre Dados, Processos e Tecnologia;00:00:00
3;1;;00:00:00
4;8;8. Cibersegurança e proteção de dados empresariais;00:00:00
5;9;9. Utilização de SaaS para otimização de operações;00:00:00
6;1;1. Conceitos e Técnicas de Análise de Dados Aplicados à Gestão Empresarial;00:00:00
7;11;11. Empreendedorismo Tecnológico;00:00:00
8;1;Ferramentas de TI para coleta, organização e análise de dados;00:00:00
9;1;Projeto Final: Aplicação da Análise de Dados e TI na Gestão;00:00:00
10;6;6. Técnicas de análise financeira com ferramentas de TI;00:00:00
11;7;7. Go-to-Market Engineering;00:00:00
12;1;O básico para a comunicação;06h:45m
13;2;Adjetivos e pronomes;05h:07m
14;3;Um pouco de vocabulário;03h:56m
15;4;Vamos dialogar?;05h:23m
16;5;Vamos falar sobre comida e roupas?;03h:07m
17;6;Partes da casa;06h:35m
18;7;Mais conversação;02h:43m
19;8;Móveis e objetos;03h:43m
20;9;Partes do corpo e mais;07h:36m
21;10;Comparativos e superlativos;04h:41m
22;11;Main Verbs;05h:10m
23;12;Um pouco mais de gramática;04h:28m
24;13;Vamos expandir o vocabulário?;05h:02m
25;14;Rotina;01h:55m
26;15;No hotel;06h:04m
27;16;Conversação aplicada;06h:31m
28;17;Irregular Verbs;07h:48m
29;18;Meios de transporte;05h:23m
30;19;To Do x To Make;04h:24m
31;20;To Take;02h:55m
32;21;To Get;04h:33m
33;22;To Look;05h:53m
34;23;Diálogo viagem/férias;04h:05m
35;1;Big Data e IA na tomada de decisões estratégicas;00:00:00
36;1;Métodos para otimização da gestão de tempo e recursos com dados e TI;00:00:00
